DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22,AssociatedDiseases23,AssociatedDiseases24,AssociatedDiseases25,AssociatedDiseases26,AssociatedDiseases27,AssociatedDiseases28,AssociatedDiseases29,AssociatedDiseases30,AssociatedDiseases31,AssociatedDiseases32,AssociatedDiseases33,AssociatedDiseases34,AssociatedDiseases35,AssociatedDiseases36,AssociatedDiseases37,AssociatedDiseases38
DB00014,4,D114480,D131200,D176807,D601518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00035,8,D125700,D134430,D134500,D193400,D277480,D304900,D600631,D600808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00091,2,D152700,D254200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00104,1,D125852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00115,1,D170900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00122,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00125,1,D220120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00126,3,D206200,D240400,D250790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00131,1,D194200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00136,8,D146200,D146255,D166710,D264700,D277440,D277460,D307700,D600081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00140,1,D145590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00141,3,D140600,D165720,D607850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00146,6,D146200,D166710,D264700,D277440,D307700,D600081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00152,1,D277730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00153,10,D134600,D146200,D146255,D166710,D241519,D259660,D264700,D277440,D307700,D600081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00158,1,D261100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00159,1,D219700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00160,1,D261515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00162,2,D115300,D277350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00163,15,D104300,D104310,D125320,D200170,D230450,D231900,D266120,D277460,D602096,D605055,D605526,D606703,D606889,D607822,D608907,,,,,,,,,,,,,,,,,,,,,,,
DB00165,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00167,4,D225740,D225755,D260970,D608033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00169,8,D102500,D146200,D166710,D264700,D266600,D277440,D307700,D600081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00175,2,D144010,D601367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00176,3,D164230,D167870,D607499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00177,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00178,4,D146255,D161900,D233100,D608622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00179,1,D106400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00180,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00181,8,D126200,D128101,D143100,D147530,D189600,D190400,D601042,D607225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00182,3,D143465,D161400,D605841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
