DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22
DB00007,7,D131200,D150699,D175510,D176807,D600082,D601518,D604416,,,,,,,,,,,,,,,
DB00010,1,D604416,,,,,,,,,,,,,,,,,,,,,
DB00014,4,D114480,D131200,D176807,D601518,,,,,,,,,,,,,,,,,,
DB00017,4,D143880,D166710,D167320,D602080,,,,,,,,,,,,,,,,,,
DB00035,5,D125700,D134430,D304900,D600631,D600808,,,,,,,,,,,,,,,,,
DB00067,2,D125700,D304900,,,,,,,,,,,,,,,,,,,,
DB00091,2,D152700,D254200,,,,,,,,,,,,,,,,,,,,
DB00104,1,D125852,,,,,,,,,,,,,,,,,,,,,
DB00114,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,
DB00115,1,D170900,,,,,,,,,,,,,,,,,,,,,
DB00122,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
DB00125,1,D220120,,,,,,,,,,,,,,,,,,,,,
DB00126,3,D206200,D240400,D250790,,,,,,,,,,,,,,,,,,,
DB00131,1,D194200,,,,,,,,,,,,,,,,,,,,,
DB00136,3,D146255,D277440,D277460,,,,,,,,,,,,,,,,,,,
DB00140,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB00153,4,D146255,D241519,D259660,D277440,,,,,,,,,,,,,,,,,,
DB00160,1,D261515,,,,,,,,,,,,,,,,,,,,,
DB00162,2,D115300,D277350,,,,,,,,,,,,,,,,,,,,
DB00163,9,D104300,D125320,D200170,D230450,D231900,D266120,D277460,D605055,D606703,,,,,,,,,,,,,
DB00165,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,
DB00167,4,D225740,D225755,D260970,D608033,,,,,,,,,,,,,,,,,,
DB00169,3,D102500,D166710,D266600,,,,,,,,,,,,,,,,,,,
DB00175,2,D144010,D601367,,,,,,,,,,,,,,,,,,,,
DB00176,2,D164230,D167870,,,,,,,,,,,,,,,,,,,,
DB00177,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00178,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00179,1,D106400,,,,,,,,,,,,,,,,,,,,,
DB00180,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00181,8,D126200,D128101,D143100,D147530,D189600,D190400,D601042,D607225,,,,,,,,,,,,,,
DB00182,1,D143465,,,,,,,,,,,,,,,,,,,,,
DB00186,3,D167870,D189600,D252320,,,,,,,,,,,,,,,,,,,
DB00187,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00188,1,D254500,,,,,,,,,,,,,,,,,,,,,
DB00190,4,D102300,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,
DB00191,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,
DB00193,2,D102300,D147530,,,,,,,,,,,,,,,,,,,,
DB00195,3,D137750,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00199,1,D604416,,,,,,,,,,,,,,,,,,,,,
DB00201,5,D136200,D140600,D145590,D147530,D157300,,,,,,,,,,,,,,,,,
DB00203,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,
DB00204,3,D115000,D607554,D608583,,,,,,,,,,,,,,,,,,,
DB00206,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00208,1,D188050,,,,,,,,,,,,,,,,,,,,,
DB00210,1,D604416,,,,,,,,,,,,,,,,,,,,,
DB00211,3,D146500,D157700,D252320,,,,,,,,,,,,,,,,,,,
DB00213,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,
DB00214,7,D146255,D161900,D166300,D208300,D215140,D600351,D608622,,,,,,,,,,,,,,,
DB00215,9,D103780,D131300,D164230,D167870,D182830,D225740,D225755,D260970,D608033,,,,,,,,,,,,,
DB00216,6,D157300,D300125,D607498,D607501,D607508,D607516,,,,,,,,,,,,,,,,
DB00218,1,D208550,,,,,,,,,,,,,,,,,,,,,
DB00221,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00222,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00226,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00227,2,D144010,D608320,,,,,,,,,,,,,,,,,,,,
DB00230,3,D102300,D147530,D165199,,,,,,,,,,,,,,,,,,,
DB00232,1,D215140,,,,,,,,,,,,,,,,,,,,,
DB00240,1,D233810,,,,,,,,,,,,,,,,,,,,,
DB00241,2,D145590,D157300,,,,,,,,,,,,,,,,,,,,
DB00242,5,D109543,D126200,D151400,D258360,D276300,,,,,,,,,,,,,,,,,
DB00244,1,D266600,,,,,,,,,,,,,,,,,,,,,
DB00245,3,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,
DB00246,2,D137580,D181500,,,,,,,,,,,,,,,,,,,,
DB00248,1,D600634,,,,,,,,,,,,,,,,,,,,,
DB00252,4,D104130,D115000,D165199,D217200,,,,,,,,,,,,,,,,,,
DB00255,1,D276300,,,,,,,,,,,,,,,,,,,,,
DB00257,2,D114580,D212050,,,,,,,,,,,,,,,,,,,,
DB00262,7,D109543,D137800,D236000,D247640,D254500,D267730,D276300,,,,,,,,,,,,,,,
DB00264,7,D110100,D157700,D161900,D190300,D607554,D608583,D608622,,,,,,,,,,,,,,,
DB00268,4,D102300,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,
DB00270,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,
DB00273,7,D147530,D157300,D264120,D300125,D308350,D605021,D607499,,,,,,,,,,,,,,,
DB00275,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00277,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00278,1,D188050,,,,,,,,,,,,,,,,,,,,,
DB00279,4,D138800,D140300,D255900,D275000,,,,,,,,,,,,,,,,,,
DB00280,1,D115000,,,,,,,,,,,,,,,,,,,,,
DB00281,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00282,9,D102400,D102500,D114480,D143880,D166300,D166710,D167320,D254500,D276300,,,,,,,,,,,,,
DB00284,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00285,6,D131300,D143465,D147530,D164230,D167870,D607499,,,,,,,,,,,,,,,,
DB00286,7,D102500,D114480,D176807,D192000,D215470,D311360,D601518,,,,,,,,,,,,,,,
DB00287,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,
DB00289,1,D143465,,,,,,,,,,,,,,,,,,,,,
DB00290,7,D109543,D155600,D155601,D236000,D247640,D267730,D273300,,,,,,,,,,,,,,,
DB00295,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00297,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00302,5,D134430,D134500,D134510,D134520,D227300,,,,,,,,,,,,,,,,,
DB00304,3,D131200,D184700,D192000,,,,,,,,,,,,,,,,,,,
DB00305,2,D109800,D137215,,,,,,,,,,,,,,,,,,,,
DB00307,2,D254400,D276300,,,,,,,,,,,,,,,,,,,,
DB00308,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,
DB00310,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00313,7,D104130,D104300,D125320,D181500,D217200,D239350,D605055,,,,,,,,,,,,,,,
DB00315,1,D157300,,,,,,,,,,,,,,,,,,,,,
DB00316,5,D140600,D145590,D147530,D157300,D608088,,,,,,,,,,,,,,,,,
DB00318,3,D140600,D145590,D608088,,,,,,,,,,,,,,,,,,,
DB00320,3,D145590,D157300,D300125,,,,,,,,,,,,,,,,,,,
DB00321,3,D144110,D147530,D252320,,,,,,,,,,,,,,,,,,,
DB00323,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,
DB00324,1,D278200,,,,,,,,,,,,,,,,,,,,,
DB00325,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00327,2,D147530,D608088,,,,,,,,,,,,,,,,,,,,
DB00328,12,D133600,D133690,D140600,D147530,D157300,D165720,D208230,D246400,D263800,D602522,D607459,D607850,,,,,,,,,,
DB00331,6,D125850,D125851,D125853,D176800,D184700,D600496,,,,,,,,,,,,,,,,
DB00332,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00333,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00334,3,D164230,D181500,D300494,,,,,,,,,,,,,,,,,,,
DB00335,2,D110100,D157700,,,,,,,,,,,,,,,,,,,,
DB00337,2,D233810,D603165,,,,,,,,,,,,,,,,,,,,
DB00338,4,D109350,D190310,D304790,D600263,,,,,,,,,,,,,,,,,,
DB00342,1,D147540,,,,,,,,,,,,,,,,,,,,,
DB00343,5,D161900,D179600,D607554,D608583,D608622,,,,,,,,,,,,,,,,,
DB00346,3,D147530,D200170,D600082,,,,,,,,,,,,,,,,,,,
DB00350,3,D104130,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00351,3,D109100,D114480,D192000,,,,,,,,,,,,,,,,,,,
DB00352,1,D601626,,,,,,,,,,,,,,,,,,,,,
DB00353,1,D157300,,,,,,,,,,,,,,,,,,,,,
DB00354,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB00356,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00357,1,D268320,,,,,,,,,,,,,,,,,,,,,
DB00361,1,D236000,,,,,,,,,,,,,,,,,,,,,
DB00363,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB00364,3,D109350,D161900,D190310,,,,,,,,,,,,,,,,,,,
DB00366,2,D145590,D147540,,,,,,,,,,,,,,,,,,,,
DB00367,3,D131200,D184700,D192000,,,,,,,,,,,,,,,,,,,
DB00368,1,D146500,,,,,,,,,,,,,,,,,,,,,
DB00371,3,D145590,D200170,D601042,,,,,,,,,,,,,,,,,,,
DB00373,7,D137750,D137760,D157300,D161900,D300125,D601682,D608622,,,,,,,,,,,,,,,
DB00374,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,
DB00376,1,D168100,,,,,,,,,,,,,,,,,,,,,
DB00379,1,D115000,,,,,,,,,,,,,,,,,,,,,
DB00380,7,D208750,D212112,D212130,D212350,D225740,D226000,D305300,,,,,,,,,,,,,,,
DB00381,6,D125310,D145500,D161900,D179600,D608320,D608622,,,,,,,,,,,,,,,,
DB00382,3,D104300,D125320,D605055,,,,,,,,,,,,,,,,,,,
DB00384,5,D203700,D208300,D210050,D215140,D600351,,,,,,,,,,,,,,,,,
DB00385,1,D109800,,,,,,,,,,,,,,,,,,,,,
DB00387,3,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,
DB00388,7,D137750,D137760,D145590,D146500,D147540,D601682,D608088,,,,,,,,,,,,,,,
DB00390,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,
DB00393,2,D125310,D601367,,,,,,,,,,,,,,,,,,,,
DB00394,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00396,1,D217200,,,,,,,,,,,,,,,,,,,,,
DB00397,5,D147540,D264120,D303110,D601665,D608088,,,,,,,,,,,,,,,,,
DB00398,4,D114550,D144700,D188470,D605839,,,,,,,,,,,,,,,,,,
DB00399,7,D102500,D143880,D167320,D254500,D276300,D602080,D605839,,,,,,,,,,,,,,,
DB00401,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,
DB00404,2,D167870,D252320,,,,,,,,,,,,,,,,,,,,
DB00407,1,D188050,,,,,,,,,,,,,,,,,,,,,
DB00408,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB00412,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00413,4,D102300,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,
DB00414,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00419,1,D230800,,,,,,,,,,,,,,,,,,,,,
DB00421,7,D104130,D161900,D208300,D215140,D600351,D604416,D608622,,,,,,,,,,,,,,,
DB00422,1,D143465,,,,,,,,,,,,,,,,,,,,,
DB00424,5,D144110,D190310,D200170,D226150,D260570,,,,,,,,,,,,,,,,,
DB00428,1,D236000,,,,,,,,,,,,,,,,,,,,,
DB00433,6,D145590,D182830,D225740,D225755,D260970,D608033,,,,,,,,,,,,,,,,
DB00434,9,D113610,D147540,D157300,D181500,D218200,D300125,D312910,D606703,D606798,,,,,,,,,,,,,
DB00436,5,D161900,D215140,D256370,D600351,D608622,,,,,,,,,,,,,,,,,
DB00437,2,D310468,D602068,,,,,,,,,,,,,,,,,,,,
DB00440,3,D166760,D208550,D604416,,,,,,,,,,,,,,,,,,,
DB00441,3,D114480,D144700,D605839,,,,,,,,,,,,,,,,,,,
DB00443,4,D125600,D133600,D151590,D603165,,,,,,,,,,,,,,,,,,
DB00444,6,D109543,D182280,D223350,D236000,D247640,D267730,,,,,,,,,,,,,,,,
DB00445,2,D114480,D276300,,,,,,,,,,,,,,,,,,,,
DB00448,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,
DB00449,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,
DB00451,4,D138800,D140300,D255900,D275000,,,,,,,,,,,,,,,,,,
DB00454,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00457,7,D147530,D157950,D161900,D179600,D200170,D600082,D608622,,,,,,,,,,,,,,,
DB00458,5,D143465,D147530,D167870,D600631,D600808,,,,,,,,,,,,,,,,,
DB00461,2,D140600,D147530,,,,,,,,,,,,,,,,,,,,
DB00464,1,D192200,,,,,,,,,,,,,,,,,,,,,
DB00465,2,D147530,D308205,,,,,,,,,,,,,,,,,,,,
DB00468,1,D200170,,,,,,,,,,,,,,,,,,,,,
DB00470,1,D109100,,,,,,,,,,,,,,,,,,,,,
DB00471,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00472,6,D131300,D164230,D167870,D181500,D252320,D607499,,,,,,,,,,,,,,,,
DB00475,2,D103780,D226150,,,,,,,,,,,,,,,,,,,,
DB00476,2,D147530,D165199,,,,,,,,,,,,,,,,,,,,
DB00477,2,D145590,D181500,,,,,,,,,,,,,,,,,,,,
DB00480,1,D254500,,,,,,,,,,,,,,,,,,,,,
DB00481,3,D102500,D114480,D166710,,,,,,,,,,,,,,,,,,,
