DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22,DrugName,AssociatedDiseases1_Name,AssociatedDiseases2_Name,AssociatedDiseases3_Name,AssociatedDiseases4_Name,AssociatedDiseases5_Name,AssociatedDiseases6_Name,AssociatedDiseases7_Name,AssociatedDiseases8_Name,AssociatedDiseases9_Name,AssociatedDiseases10_Name,AssociatedDiseases11_Name,AssociatedDiseases12_Name,AssociatedDiseases13_Name,AssociatedDiseases14_Name,AssociatedDiseases15_Name,AssociatedDiseases16_Name,AssociatedDiseases17_Name,AssociatedDiseases18_Name,AssociatedDiseases19_Name,AssociatedDiseases20_Name,AssociatedDiseases21_Name,AssociatedDiseases22_Name
DB00007,7,D131200,D150699,D175510,D176807,D600082,D601518,D604416,,,,,,,,,,,,,,,,DB00007,"ENDOMETRIOSIS, SUSCEPTIBILITY TO, 1","LEIOMYOMA, UTERINE; UL",GIST-PLUS SYNDROME; GISTPS,PROSTATE CANCER,D600082,"PROSTATE CANCER, HEREDITARY, 1; HPC1",D604416,,,,,,,,,,,,,,,
DB00010,1,D604416,,,,,,,,,,,,,,,,,,,,,,DB00010,D604416,,,,,,,,,,,,,,,,,,,,,
DB00014,4,D114480,D131200,D176807,D601518,,,,,,,,,,,,,,,,,,,DB00014,BREAST CANCER,"ENDOMETRIOSIS, SUSCEPTIBILITY TO, 1",PROSTATE CANCER,"PROSTATE CANCER, HEREDITARY, 1; HPC1",,,,,,,,,,,,,,,,,,
DB00017,4,D143880,D166710,D167320,D602080,,,,,,,,,,,,,,,,,,,DB00017,"HYPERCALCEMIA, INFANTILE, 1; HCINF1",D166710,INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1; IBMPFD1,"PAGET DISEASE OF BONE 2, EARLY-ONSET; PDB2",,,,,,,,,,,,,,,,,,
DB00035,5,D125700,D134430,D304900,D600631,D600808,,,,,,,,,,,,,,,,,,DB00035,"DIABETES INSIPIDUS, NEUROHYPOPHYSEAL","FACTOR VII AND FACTOR VIII, COMBINED DEFICIENCY OF",D304900,"ENURESIS, NOCTURNAL, 1; ENUR1",D600808,,,,,,,,,,,,,,,,,
DB00067,2,D125700,D304900,,,,,,,,,,,,,,,,,,,,,DB00067,"DIABETES INSIPIDUS, NEUROHYPOPHYSEAL","DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED",,,,,,,,,,,,,,,,,,,,
DB00091,2,D152700,D254200,,,,,,,,,,,,,,,,,,,,,DB00091,D152700,D254200,,,,,,,,,,,,,,,,,,,,
DB00104,1,D125852,,,,,,,,,,,,,,,,,,,,,,DB00104,D125852,,,,,,,,,,,,,,,,,,,,,
DB00114,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,,DB00114,"CONVULSIVE DISORDER, FAMILIAL, WITH PRENATAL OR EARLY ONSET",D239350,,,,,,,,,,,,,,,,,,,,
DB00115,1,D170900,,,,,,,,,,,,,,,,,,,,,,DB00115,PERNICIOUS ANEMIA,,,,,,,,,,,,,,,,,,,,,
